"Name","State","Runtime","User","Created","batch_size","mode","model","n_train_samples","seed","test_accuracy","test_f1","test_precision","test_recall","train_accuracy","train_f1","train_loss","train_precision","train_recall","val_accuracy","val_f1","val_loss","val_precision","val_recall","lr"
"vgg_n=100_all (2024.06.01. 22:22)","finished","21860","","2024-06-01T14:22:31.000Z","100","all","vgg","100","0","1","1","1","1","1","1","0.010352991133307418","1","1","1","1","1.0519971773028374","1","1","0.0001"
"squeezenet_n=200_all (2024.06.01. 17:27)","finished","9147","","2024-06-01T09:27:16.000Z","100","all","squeezenet","200","0","1","1","1","1","1","1","0.011780175555031748","1","1","1","1","0.9984868727624416","1","1","1.0000000000000002e-7"
"squeezenet_n=100_all (2024.06.01. 16:22)","finished","3904","","2024-06-01T08:22:09.000Z","100","all","squeezenet","100","0","1","1","1","1","1","1","0.02724011040603121","1","1","0.9526209831237792","0.9523809552192688","3.0336555428802967","0.9526209831237792","0.9526209831237792","0.0000010000000000000002"
"vgg_n=50_all (2024.06.01. 16:22)","finished","21620","","2024-06-01T08:22:08.000Z","100","all","vgg","50","0","1","1","1","1","0.996124029159546","0.9961089491844176","0.0023687593056820333","0.996124029159546","0.996124029159546","1","1","0.8783988449722528","1","1","0.0001"
"vgg_n=200_all (2024.06.01. 08:16)","finished","30926","","2024-06-01T08:16:59.000Z","100","all","vgg","200","0","0.987500011920929","0.9874980449676514","0.9878048896789552","0.987500011920929","1","1","0.009993777105895182","1","1","1","1","0.30150354467332363","1","1","0.0001"
"vgg_n=50_clf (2024.06.01. 08:14)","finished","26562","","2024-06-01T00:14:27.000Z","100","clf","vgg","50","0","0.987500011920929","0.9874980449676514","0.9878048896789552","0.987500011920929","0.996124029159546","0.9961089491844176","0.005706034426111728","0.996124029159546","0.996124029159546","1","1","1.2750288732349873","1","1","0.0001"
"vgg_n=200_clf (2024.05.31. 23:34)","finished","30068","","2024-05-31T23:34:30.000Z","100","clf","vgg","200","0","0.987500011920929","0.9874980449676514","0.9878048896789552","0.987500011920929","1","1","0.028190691955387592","1","1","0.984375","0.9841269850730896","1.7371722646057606","0.984375","0.984375","0.0001"
"vgg_n=100_clf (2024.06.01. 06:03)","finished","33614","","2024-05-31T22:03:57.000Z","100","clf","vgg","100","0","0.987500011920929","0.9874980449676514","0.9878048896789552","0.987500011920929","1","1","0.026170121661076944","1","1","1","1","1.6713234297931194","1","1","0.0001"
"squeezenet_n=100_clf (2024.06.01. 01:48)","finished","15327","","2024-05-31T17:48:26.000Z","100","clf","squeezenet","100","0","0.987500011920929","0.9874980449676514","0.9878048896789552","0.987500011920929","0.99609375","0.9961087107658386","0.08887656343479951","0.9961538314819336","0.99609375","0.984375","0.9841269850730896","2.8338449522852898","0.984375","0.984375","1.0000000000000004e-8"
"squeezenet_n=50_clf (2024.06.01. 01:32)","finished","24139","","2024-05-31T17:32:04.000Z","100","clf","squeezenet","50","0","1","1","1","1","0.99609375","0.9961087107658386","0.007817182146633664","0.9961538314819336","0.99609375","0.9682459831237792","0.9682459831237792","1.648088026791811","0.9682459831237792","0.9682459831237792","0.0001"
"squeezenet_n=200_clf (2024.05.31. 17:02)","finished","23509","","2024-05-31T17:02:35.000Z","100","clf","squeezenet","200","0","1","1","1","1","1","1","0.07610261673107743","1","1","1","1","0.06385372916702181","1","1","0.0001"
"squeezenet_n=50_all (2024.05.31. 19:57)","finished","9606","","2024-05-31T11:57:47.000Z","100","all","squeezenet","50","0","0.987500011920929","0.9874980449676514","0.9878048896789552","0.987500011920929","0.996124029159546","0.9961089491844176","0.005866967937132965","0.996124029159546","0.996124029159546","0.9521169662475586","0.9523329138755798","3.457329586148262","0.953030288219452","0.9521169662475586","0.00001"